iter	Passed	Remaining
413	2829	4004
414	2834	3996
415	2842	3990
416	2848	3982
417	2857	3978
418	2863	3970
419	2869	3962
420	2874	3953
421	2880	3945
422	2886	3937
423	2894	3931
424	2902	3926
425	2907	3917
426	2912	3908
427	2918	3900
428	2924	3892
429	2929	3883
430	2935	3875
431	2942	3868
432	2947	3860
433	2953	3852
434	2959	3843
435	2965	3835
436	2970	3827
437	2976	3819
438	2982	3811
439	2992	3808
440	2999	3801
441	3005	3794
442	3012	3788
443	3018	3779
444	3025	3773
445	3031	3765
446	3037	3757
447	3043	3749
448	3048	3741
449	3054	3733
450	3060	3725
451	3065	3716
452	3070	3708
453	3077	3700
454	3082	3692
455	3087	3683
456	3093	3675
457	3098	3667
458	3104	3658
459	3110	3651
460	3117	3644
461	3123	3637
462	3130	3630
463	3137	3624
464	3142	3615
465	3149	3608
466	3155	3601
467	3162	3594
468	3168	3587
469	3173	3578
470	3179	3571
471	3186	3564
472	3193	3557
473	3198	3549
474	3203	3540
475	3209	3532
476	3214	3524
477	3219	3516
478	3225	3507
479	3230	3499
480	3235	3491
481	3241	3483
482	3247	3475
483	3252	3467
484	3257	3459
485	3263	3451
486	3268	3443
487	3274	3435
488	3281	3428
489	3287	3421
490	3294	3415
491	3300	3408
492	3306	3400
493	3311	3392
494	3319	3386
495	3324	3378
496	3332	3372
497	3338	3365
498	3345	3358
499	3351	3351
500	3356	3343
501	3364	3337
502	3369	3329
503	3374	3321
504	3380	3313
505	3385	3305
506	3390	3297
507	3396	3289
508	3401	3281
509	3406	3273
510	3412	3265
511	3417	3257
512	3423	3249
513	3428	3241
514	3433	3233
515	3438	3225
516	3443	3217
517	3449	3209
518	3454	3201
519	3462	3195
520	3468	3189
521	3475	3182
522	3482	3176
523	3488	3168
524	3494	3162
525	3505	3158
526	3511	3151
527	3517	3144
528	3522	3136
529	3527	3128
530	3533	3121
531	3538	3113
532	3544	3105
533	3550	3098
534	3555	3090
535	3560	3082
536	3565	3074
537	3570	3066
538	3576	3058
539	3581	3051
540	3586	3043
541	3592	3035
542	3597	3027
543	3602	3019
544	3608	3012
545	3613	3004
546	3618	2996
547	3624	2989
548	3632	2983
549	3638	2977
550	3645	2970
551	3651	2963
552	3657	2956
553	3662	2948
554	3669	2941
555	3674	2934
556	3679	2926
557	3685	2919
558	3692	2912
559	3699	2906
560	3706	2900
561	3711	2892
562	3717	2885
563	3722	2877
564	3728	2870
565	3734	2863
566	3739	2855
567	3744	2847
568	3749	2840
569	3755	2832
570	3760	2825
571	3765	2817
572	3771	2810
573	3776	2802
574	3781	2795
575	3787	2787
576	3792	2780
577	3799	2773
578	3805	2767
579	3811	2760
580	3818	2754
581	3825	2747
582	3830	2740
583	3837	2733
584	3843	2726
585	3849	2719
586	3856	2713
587	3864	2707
588	3869	2700
589	3875	2692
590	3883	2687
591	3890	2681
592	3895	2673
593	3902	2667
594	3907	2659
595	3913	2652
596	3918	2645
597	3924	2637
598	3929	2630
599	3934	2623
600	3940	2615
