iter	RMSE
599	36759.89782
600	36751.44428
601	36744.90198
602	36730.77898
603	36719.47203
604	36713.4916
605	36693.85585
606	36685.73085
607	36671.11637
608	36655.46632
609	36637.02187
610	36630.48803
611	36614.92039
612	36604.47782
613	36591.91147
614	36579.95927
615	36570.4487
616	36557.21331
617	36548.60557
618	36533.57099
619	36524.41485
620	36512.07915
621	36499.58892
622	36483.33348
623	36474.24247
624	36462.25569
625	36458.78011
626	36451.19636
627	36431.45696
628	36420.18612
629	36406.90096
630	36394.34523
631	36384.01627
632	36376.59374
633	36369.13694
634	36354.73502
635	36341.91776
636	36332.56767
637	36321.63634
638	36304.71968
639	36290.01213
640	36280.15055
641	36272.86046
642	36270.76704
643	36257.82209
644	36247.0685
645	36233.17163
646	36218.29353
647	36210.5466
648	36198.48778
649	36187.3335
650	36174.99473
651	36171.36378
652	36161.86311
653	36148.28688
654	36138.98478
655	36129.50872
656	36116.70955
657	36108.94762
658	36092.21827
659	36080.58796
660	36073.30851
661	36063.64839
662	36052.47488
663	36046.82652
664	36031.15328
665	36015.43343
666	36005.92636
667	35989.45851
668	35980.61223
669	35961.72739
670	35951.68911
671	35943.69588
672	35938.03524
673	35924.08382
674	35914.63502
675	35903.23679
676	35889.87905
677	35882.57908
678	35870.18037
679	35864.15517
680	35860.20942
681	35846.94303
682	35839.6919
683	35827.68298
684	35824.82799
685	35817.00983
686	35807.65144
687	35796.02568
688	35792.93821
689	35782.97989
690	35770.38231
691	35758.91811
692	35751.77737
693	35741.93166
694	35732.81658
695	35723.11939
696	35710.14146
697	35707.11944
698	35701.45222
699	35694.27692
700	35687.88024
701	35673.69254
702	35662.36509
703	35649.37419
704	35640.02162
705	35631.74753
706	35622.29585
707	35613.88676
708	35604.04636
709	35589.77607
710	35575.15167
711	35556.96434
712	35547.13133
713	35541.18117
714	35533.53725
715	35521.674
716	35516.55256
717	35504.2576
718	35493.73366
719	35481.5928
720	35472.49307
721	35470.18735
722	35458.30862
723	35444.39517
724	35434.52571
725	35421.13023
726	35414.76978
727	35406.00111
728	35392.67975
729	35381.79217
730	35376.20436
731	35367.03199
732	35357.21199
733	35343.2312
734	35337.75849
735	35326.43596
736	35314.77922
737	35308.93661
738	35297.66547
739	35284.97457
740	35281.86951
741	35269.87846
742	35260.74787
743	35254.99823
744	35245.06029
745	35229.50217
746	35218.69234
747	35206.22081
748	35189.83782
749	35183.0461
750	35177.56012
751	35165.16571
752	35155.04326
753	35147.5791
754	35137.16016
755	35126.86457
756	35120.11441
757	35116.48384
758	35108.54379
759	35101.42904
760	35092.24741
761	35083.924
762	35072.66979
763	35063.07276
764	35050.99993
765	35044.39894
766	35031.20204
767	35025.22458
768	35010.08414
769	35000.17685
770	34997.51651
771	34984.88658
772	34977.54555
773	34966.13991
774	34951.68985
775	34942.67803
776	34933.62584
777	34920.05326
778	34915.4197
779	34907.58295
780	34900.56587
781	34889.60882
782	34880.46641
783	34864.077
784	34852.8282
785	34846.17387
786	34835.14866
787	34809.70681
788	34798.61646
789	34785.83432
790	34773.00727
791	34758.37678
792	34749.42993
793	34739.87609
794	34726.41439
795	34715.13887
796	34704.34926
797	34691.66122
798	34676.57384
799	34667.18719
800	34659.73736
801	34637.3031
802	34625.17947
803	34611.21906
804	34600.3227
805	34592.2518
806	34585.14213
807	34572.41586
808	34562.79195
809	34549.19102
810	34536.42065
811	34523.2049
812	34508.56473
813	34497.45018
814	34489.03215
815	34479.90011
816	34472.95791
817	34460.40638
818	34448.41453
819	34437.36784
820	34426.7158
821	34416.49416
822	34402.85365
823	34397.45373
824	34391.24245
825	34385.65877
826	34374.9804
827	34365.13901
828	34355.92734
829	34345.31079
830	34335.12668
831	34324.90945
832	34314.17377
833	34302.80761
834	34293.93692
835	34279.01001
836	34272.76493
837	34260.52554
838	34251.62463
839	34246.88626
840	34236.74958
841	34226.98041
842	34220.16058
843	34218.4953
844	34212.25661
845	34200.64107
846	34192.69107
847	34178.4455
848	34170.15764
849	34165.2144
850	34157.36553
851	34150.02383
852	34137.54979
853	34126.96924
854	34114.14134
855	34109.54252
856	34092.71902
857	34085.29792
858	34079.20412
859	34070.87965
860	34068.33612
861	34063.44338
862	34056.42252
863	34046.22809
864	34034.94579
865	34023.74438
866	34015.51407
867	34010.07211
868	34004.90194
869	33995.38532
870	33989.18044
871	33984.73577
872	33975.70389
873	33959.64813
874	33950.24004
875	33938.09457
876	33927.95338
877	33918.01726
878	33910.2202
879	33903.40515
880	33893.09111
881	33876.00102
882	33873.44715
883	33862.81278
884	33853.43786
885	33843.85583
886	33833.25481
887	33822.45177
888	33810.25182
889	33803.86734
890	33792.63354
891	33783.11255
892	33775.67779
893	33763.85449
894	33754.12222
895	33746.69819
896	33735.92666
897	33727.59368
898	33715.81901
899	33705.80578
900	33694.95008
901	33688.41788
902	33678.21292
903	33666.85095
904	33660.80641
905	33654.78906
906	33647.11939
907	33638.42729
908	33624.54319
909	33612.91838
910	33602.41138
911	33593.30987
912	33580.78163
913	33568.94584
914	33555.91394
915	33546.28479
916	33535.74009
917	33529.60851
918	33519.33334
919	33508.99061
920	33498.49605
921	33491.55464
922	33482.17267
923	33474.80837
924	33464.82575
925	33452.70946
926	33442.57603
927	33433.81515
928	33421.20962
929	33409.62847
930	33403.00778
931	33396.80575
932	33382.25676
933	33367.58249
934	33357.31597
935	33349.13792
936	33336.10741
937	33331.95568
938	33323.38622
939	33313.88294
940	33305.32596
941	33297.71331
942	33291.37571
943	33284.06622
944	33276.55461
945	33262.25042
946	33252.41974
947	33242.57099
948	33234.20455
949	33225.66856
950	33211.41941
951	33201.13079
952	33194.39191
953	33184.85695
954	33176.73988
955	33162.2601
956	33152.67047
957	33145.25211
958	33132.42816
959	33126.56401
960	33114.03236
961	33104.1464
962	33096.23921
963	33089.66352
964	33071.63873
965	33058.58135
966	33050.93579
967	33038.26576
968	33035.78031
969	33027.36575
970	33018.48495
971	33009.63601
972	33002.53098
973	32993.15828
974	32987.38691
975	32982.09851
976	32977.19543
977	32970.51331
978	32964.80766
979	32958.11433
980	32954.60532
981	32946.69368
982	32937.03664
983	32925.46871
984	32919.66578
985	32910.06319
986	32894.27037
987	32888.37972
988	32876.08918
989	32868.88709
990	32861.67631
991	32852.23726
992	32850.46763
993	32834.37653
994	32821.34302
995	32808.76151
996	32800.17679
997	32791.69205
998	32782.02413
999	32772.36157
